"100x50x3",50,100,3,6.6,8.41,106.46,21.29,26.66,3.56,36.06,14.42,16.44,2.07,88.56
"100x50x4",50,100,4,8.594,10.95,134.14,26.83,34.1,3.5,44.95,17.98,20.93,2.03,112.99
"100x50x5",50,100,5,10.485,13.36,158.19,31.64,40.84,3.44,52.45,20.98,24.95,1.98,134.87
"100x60x2",60,100,2,4.818,6.14,84.59,16.92,20.46,3.71,38.6,12.87,14.43,2.51,84.08
"100x60x3",60,100,3,7.071,9.01,120.57,24.11,29.57,3.66,54.65,18.22,20.79,2.46,121.67
"100x60x4",60,100,4,9.222,11.75,152.58,30.52,37.94,3.6,68.68,22.89,26.6,2.42,156.27
"100x60x5",60,100,5,11.27,14.36,180.77,36.15,45.59,3.55,80.83,26.94,31.88,2.37,187.86
"100x60x6",60,100,6,13.214,16.83,205.3,41.06,52.54,3.49,91.2,30.4,36.64,2.33,216.44
"100x80x2",80,100,2,5.446,6.94,103.8,20.76,24.38,3.87,73.87,18.47,20.97,3.26,134.59
"100x80x3",80,100,3,8.013,10.21,148.81,29.76,35.39,3.82,105.64,26.41,30.4,3.22,196.12
"100x80x4",80,100,4,10.478,13.35,189.47,37.89,45.62,3.77,134.17,33.54,39.15,3.17,253.79
"100x80x5",80,100,5,12.84,16.36,225.94,45.19,55.09,3.72,159.61,39.9,47.24,3.12,307.55
"100x80x6",80,100,6,15.098,19.23,258.39,51.68,63.82,3.67,182.1,45.53,54.67,3.08,357.38
"110x70x3",70,110,3,8.013,10.21,169.62,30.84,37.43,4.08,84.48,24.14,27.46,2.88,180.67
"110x70x4",70,110,4,10.478,13.35,216.01,39.27,48.25,4.02,107.01,30.57,35.32,2.83,233.32
"110x70x5",70,110,5,12.84,16.36,257.62,46.84,58.27,3.97,126.96,36.28,42.56,2.79,282.14
"110x70x6",70,110,6,15.098,19.23,294.63,53.57,67.5,3.91,144.47,41.28,49.19,2.74,327.11
"120x40x2",40,120,2,4.818,6.14,104.07,17.34,22.28,4.12,18.5,9.25,10.21,1.74,52.32
"120x40x3",40,120,3,7.071,9.01,148.04,24.67,32.16,4.05,25.79,12.89,14.6,1.69,74.56
"120x40x4",40,120,4,9.222,11.75,186.89,31.15,41.21,3.99,31.9,15.95,18.53,1.65,94.23
"120x40x5",40,120,5,11.27,14.36,220.81,36.8,49.45,3.92,36.93,18.46,22.02,1.6,111.35
"120x40x6",40,120,6,13.214,16.83,249.97,41.66,56.89,3.85,40.97,20.49,25.08,1.56,125.97
"120x60x2",60,120,2,5.446,6.94,131.92,21.99,27,4.36,45.33,15.11,16.75,2.56,107.88
