"HSS","HSS18X6X.500","HSS18X6X1/2","F","HSS457.2X152.4X12.7","HSS457.2X152.4X12.7",113,13500,"–","–",457,"–","–","–",152,"–","–","–","–","–","–","–",12.7,11.8,"–","–","–","–","–","–","–","–","–",9.90,"–",35.7,"–",320,1840,1400,154,55.8,831,731,64.3,"–","–","–",161000,"–",1470,"–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"HSS","HSS18X6X.375","HSS18X6X3/8","F","HSS457.2X152.4X9.5","HSS457.2X152.4X9.5",86.4,10300,"–","–",457,"–","–","–",152,"–","–","–","–","–","–","–",9.53,8.86,"–","–","–","–","–","–","–","–","–",14.2,"–",48.6,"–",251,1420,1100,156,44.1,647,582,65.5,"–","–","–",126000,"–",1140,"–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"HSS","HSS18X6X.313","HSS18X6X5/16","F","HSS457.2X152.4X7.9","HSS457.2X152.4X7.9",72.7,8650,"–","–",457,"–","–","–",152,"–","–","–","–","–","–","–",7.94,7.39,"–","–","–","–","–","–","–","–","–",17.6,"–",58.9,"–",214,1200,934,157,38.0,549,498,66.3,"–","–","–",107000,"–",962,"–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"HSS","HSS18X6X.250","HSS18X6X1/4","F","HSS457.2X152.4X6.4","HSS457.2X152.4X6.4",58.7,6970,"–","–",457,"–","–","–",152,"–","–","–","–","–","–","–",6.35,5.92,"–","–","–","–","–","–","–","–","–",22.8,"–",74.3,"–",174,973,762,158,31.3,447,410,66.8,"–","–","–",87400,"–",782,"–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"HSS","HSS16X16X.625","HSS16X16X5/8","F","HSS406.4X406.4X15.9","HSS406.4X406.4X15.9",189,22600,"–","–",406,"–","–","–",406,"–","–","–","–","–","–","–",15.9,14.8,"–","–","–","–","–","–","–","–","–",24.5,"–",24.5,"–",570,3280,2800,159,570,3280,2800,159,"–","–","–",903000,"–",4520,"–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"HSS","HSS16X16X.500","HSS16X16X1/2","F","HSS406.4X406.4X12.7","HSS406.4X406.4X12.7",153,18300,"–","–",406,"–","–","–",406,"–","–","–","–","–","–","–",12.7,11.8,"–","–","–","–","–","–","–","–","–",31.4,"–",31.4,"–",470,2690,2310,160,470,2690,2310,160,"–","–","–",737000,"–",3670,"–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"HSS","HSS16X16X.375","HSS16X16X3/8","F","HSS406.4X406.4X9.5","HSS406.4X406.4X9.5",117,13900,"–","–",406,"–","–","–",406,"–","–","–","–","–","–","–",9.53,8.86,"–","–","–","–","–","–","–","–","–",42.8,"–",42.8,"–",363,2060,1790,162,363,2060,1790,162,"–","–","–",562000,"–",2800,"–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"HSS","HSS16X16X.313","HSS16X16X5/16","F","HSS406.4X406.4X7.9","HSS406.4X406.4X7.9",97.9,11700,"–","–",406,"–","–","–",406,"–","–","–","–","–","–","–",7.94,7.39,"–","–","–","–","–","–","–","–","–",52.0,"–",52.0,"–",308,1740,1510,162,308,1740,1510,162,"–","–","–",475000,"–",2360,"–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"HSS","HSS16X12X.625","HSS16X12X5/8","F","HSS406.4X304.8X15.9","HSS406.4X304.8X15.9",164,19500,"–","–",406,"–","–","–",305,"–","–","–","–","–","–","–",15.9,14.8,"–","–","–","–","–","–","–","–","–",17.7,"–",24.5,"–",454,2700,2230,152,291,2210,1920,122,"–","–","–",570000,"–",3340,"–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"HSS","HSS16X12X.500","HSS16X12X1/2","F","HSS406.4X304.8X12.7","HSS406.4X304.8X12.7",133,15900,"–","–",406,"–","–","–",305,"–","–","–","–","–","–","–",12.7,11.8,"–","–","–","–","–","–","–","–","–",22.8,"–",31.4,"–",376,2210,1850,154,242,1820,1590,123,"–","–","–",466000,"–",2720,"–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
