Type,EDI_Std_Nomenclature,AISC_Manual_Label,T_F,W,A,d,ddet,Ht,OD,bf,bfdet,b,ID,tw,twdet,twdet/2,tf,tfdet,t,tnom,tdes,kdes,kdet,k1,x,y,eo,xp,yp,bf/2tf,b/t,h/tw,Ht/t,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,Iz,rz,Sz,J,Cw,C,Wno,Sw1,Sw2,Sw3,Qf,Qw,ro,H,tan(α),Qs,Iw,SwA,SwB,SwC,SzA,SzB,SzC,rts,ho,PA,PB,EDI_Std_Nomenclature,AISC_Manual_Label,W,A,d,ddet,Ht,OD,bf,bfdet,b,ID,tw,twdet,twdet/2,tf,tfdet,t,tnom,tdes,kdes,kdet,k1,x,y,eo,xp,yp,bf/2tf,b/t,h/tw,Ht/t,D/t,Ix / 106,Zx / 103,Sx / 103,rx,Iy / 106,Zy / 103,Sy / 103,ry,Iz / 106,rz,Sz / 103,J / 103,Cw / 109,C / 103,Wno,Sw1 / 106,Sw2 / 106,Sw3 / 106,Qf / 103,Qw / 103,ro,H,tan(α),Qs,Iw / 106,SwA / 103,SwB / 103,SwC / 103,SzA / 103,SzB / 103,SzC / 103,rts,ho,PA,PB
C,C10X15.3,C10X15.3,F,15.3,4.48,10.0,10      ,–,–,2.60,2  5/8 ,–,–,0.240,  1/4 ,  1/8 ,0.436,  7/16,–,–,–,1.00,1      ,–,0.634,–,0.796,0.224,–,–,5.96,35.3,–,–,67.3,15.9,13.5,3.88,2.27,2.34,1.15,0.711,–,–,–,0.209,45.5,–,7.48,2.55,1.67,0.841,4.92,7.92,4.19,0.884,–,–,–,–,–,–,–,–,–,0.868,9.56,–,–,C250X22.8,C250X22.8,22.8,2890,254,254,–,–,66.0,66.7,–,–,6.10,6.35,3.18,11.1,11.1,–,–,–,25.4,25.4,–,16.1,–,20.2,5.69,–,–,5.96,35.3,–,–,28.0,261,221,98.6,0.945,38.3,18.8,18.1,–,–,–,87.0,12.2,–,4830,1.06,0.695,0.350,80.6,130,106,0.884,–,–,–,–,–,–,–,–,–,22.0,243,–,–
C,C9X20,C9X20,F,20.0,5.87,9.00,9      ,–,–,2.65,2  5/8 ,–,–,0.448,  7/16,  1/4 ,0.413,  7/16,–,–,–,1.00,1      ,–,0.583,–,0.515,0.326,–,–,6.42,16.8,–,–,60.9,16.9,13.5,3.22,2.41,2.46,1.17,0.640,–,–,–,0.427,39.4,–,7.24,2.52,2.04,1.01,3.90,8.44,3.46,0.899,–,–,–,–,–,–,–,–,–,0.850,8.59,–,–,C230X30,C230X30,30.0,3790,229,229,–,–,67.3,66.7,–,–,11.4,11.1,6.35,10.5,11.1,–,–,–,25.4,25.4,–,14.8,–,13.1,8.28,–,–,6.42,16.8,–,–,25.3,277,221,81.8,1.00,40.3,19.2,16.3,–,–,–,178,10.6,–,4670,1.05,0.849,0.420,63.9,138,87.9,0.899,–,–,–,–,–,–,–,–,–,21.6,218,–,–
C,C9X15,C9X15,F,15.0,4.40,9.00,9      ,–,–,2.49,2  1/2 ,–,–,0.285,  5/16,  3/16,0.413,  7/16,–,–,–,1.00,1      ,–,0.586,–,0.681,0.245,–,–,6.03,26.4,–,–,51.0,13.6,11.3,3.40,1.91,2.04,1.01,0.659,–,–,–,0.208,31.0,–,6.54,2.06,1.46,0.705,3.91,6.80,3.69,0.882,–,–,–,–,–,–,–,–,–,0.825,8.59,–,–,C230X22,C230X22,22.0,2840,229,229,–,–,63.2,63.5,–,–,7.24,7.94,4.76,10.5,11.1,–,–,–,25.4,25.4,–,14.9,–,17.3,6.22,–,–,6.03,26.4,–,–,21.2,223,185,86.4,0.795,33.4,16.6,16.7,–,–,–,86.6,8.32,–,4220,0.857,0.608,0.293,64.1,111,93.7,0.882,–,–,–,–,–,–,–,–,–,21.0,218,–,–
C,C9X13.4,C9X13.4,F,13.4,3.94,9.00,9      ,–,–,2.43,2  3/8 ,–,–,0.233,  1/4 ,  1/8 ,0.413,  7/16,–,–,–,1.00,1      ,–,0.601,–,0.742,0.219,–,–,5.88,32.2,–,–,47.8,12.6,10.6,3.48,1.75,1.94,0.954,0.666,–,–,–,0.168,28.2,–,6.25,1.88,1.22,0.625,3.90,6.25,3.79,0.875,–,–,–,–,–,–,–,–,–,0.814,8.59,–,–,C230X19.9,C230X19.9,19.9,2540,229,229,–,–,61.7,60.3,–,–,5.92,6.35,3.18,10.5,11.1,–,–,–,25.4,25.4,–,15.3,–,18.8,5.56,–,–,5.88,32.2,–,–,19.9,206,174,88.4,0.728,31.8,15.6,16.9,–,–,–,69.9,7.57,–,4030,0.783,0.508,0.260,63.9,102,96.3,0.875,–,–,–,–,–,–,–,–,–,20.7,218,–,–
C,C8X18.75,C8X18.75,F,18.75,5.51,8.00,8      ,–,–,2.53,2  1/2 ,–,–,0.487,  1/2 ,  1/4 ,0.390,  3/8 ,–,–,–,0.938, 15/16,–,0.565,–,0.431,0.344,–,–,6.49,13.5,–,–,43.9,13.9,11.0,2.82,1.97,2.17,1.01,0.598,–,–,–,0.434,25.1,–,6.13,1.93,1.59,0.788,3.03,6.93,3.05,0.894,–,–,–,–,–,–,–,–,–,0.800,7.61,–,–,C200X27.9,C200X27.9,27.9,3550,203,203,–,–,64.3,63.5,–,–,12.4,12.7,6.35,9.91,9.52,–,–,–,23.8,23.8,–,14.4,–,10.9,8.74,–,–,6.49,13.5,–,–,18.3,228,180,71.6,0.820,35.6,16.6,15.2,–,–,–,181,6.74,–,3950,0.803,0.662,0.328,49.7,114,77.5,0.894,–,–,–,–,–,–,–,–,–,20.3,193,–,–
C,C8X13.75,C8X13.75,F,13.75,4.03,8.00,8      ,–,–,2.34,2  3/8 ,–,–,0.303,  5/16,  3/16,0.390,  3/8 ,–,–,–,0.938, 15/16,–,0.554,–,0.604,0.252,–,–,6.00,21.8,–,–,36.1,11.0,9.02,2.99,1.52,1.73,0.848,0.613,–,–,–,0.186,19.2,–,5.45,1.52,1.10,0.557,3.02,5.45,3.26,0.874,–,–,–,–,–,–,–,–,–,0.774,7.61,–,–,C200X20.5,C200X20.5,20.5,2600,203,203,–,–,59.4,60.3,–,–,7.70,7.94,4.76,9.91,9.52,–,–,–,23.8,23.8,–,14.1,–,15.3,6.40,–,–,6.00,21.8,–,–,15.0,180,148,75.9,0.633,28.3,13.9,15.6,–,–,–,77.4,5.16,–,3520,0.633,0.458,0.232,49.5,89.3,82.8,0.874,–,–,–,–,–,–,–,–,–,19.7,193,–,–
C,C8X11.5,C8X11.5,F,11.5,3.37,8.00,8      ,–,–,2.26,2  1/4 ,–,–,0.220,  1/4 ,  1/8 ,0.390,  3/8 ,–,–,–,0.938, 15/16,–,0.572,–,0.697,0.211,–,–,5.79,30.0,–,–,32.5,9.63,8.14,3.11,1.31,1.57,0.775,0.623,–,–,–,0.130,16.5,–,5.11,1.34,0.855,0.430,3.03,4.79,3.41,0.862,–,–,–,–,–,–,–,–,–,0.756,7.61,–,–,C200X17.1,C200X17.1,17.1,2170,203,203,–,–,57.4,57.2,–,–,5.59,6.35,3.18,9.91,9.52,–,–,–,23.8,23.8,–,14.5,–,17.7,5.36,–,–,5.79,30.0,–,–,13.5,158,133,79.0,0.545,25.7,12.7,15.8,–,–,–,54.1,4.43,–,3300,0.558,0.356,0.179,49.7,78.5,86.6,0.862,–,–,–,–,–,–,–,–,–,19.2,193,–,–
C,C7X14.75,C7X14.75,F,14.75,4.33,7.00,7      ,–,–,2.30,2  1/4 ,–,–,0.419,  7/16,  1/4 ,0.366,  3/8 ,–,–,–,0.875,  7/8 ,–,0.532,–,0.441,0.309,–,–,6.28,13.5,–,–,27.2,9.75,7.78,2.51,1.37,1.63,0.772,0.561,–,–,–,0.267,13.1,–,4.78,1.26,1.00,0.498,2.28,4.85,2.75,0.875,–,–,–,–,–,–,–,–,–,0.738,6.63,–,–,C180X22,C180X22,22.0,2790,178,178,–,–,58.4,57.2,–,–,10.6,11.1,6.35,9.30,9.52,–,–,–,22.2,22.2,–,13.5,–,11.2,7.85,–,–,6.28,13.5,–,–,11.3,160,127,63.8,0.570,26.7,12.7,14.2,–,–,–,111,3.52,–,3080,0.524,0.416,0.207,37.4,79.5,69.9,0.875,–,–,–,–,–,–,–,–,–,18.7,168,–,–
C,C7X12.25,C7X12.25,F,12.25,3.59,7.00,7      ,–,–,2.19,2  1/4 ,–,–,0.314,  5/16,  3/16,0.366,  3/8 ,–,–,–,0.875,  7/8 ,–,0.525,–,0.538,0.257,–,–,5.98,18.0,–,–,24.2,8.46,6.92,2.59,1.16,1.42,0.696,0.568,–,–,–,0.161,11.2,–,4.44,1.09,0.793,0.406,2.28,4.20,2.86,0.862,–,–,–,–,–,–,–,–,–,0.722,6.63,–,–,C180X18.2,C180X18.2,18.2,2320,178,178,–,–,55.6,57.2,–,–,7.98,7.94,4.76,9.30,9.52,–,–,–,22.2,22.2,–,13.3,–,13.7,6.53,–,–,5.98,18.0,–,–,10.1,139,113,65.8,0.483,23.3,11.4,14.4,–,–,–,67.0,3.01,–,2860,0.454,0.330,0.169,37.4,68.8,72.6,0.862,–,–,–,–,–,–,–,–,–,18.3,168,–,–
C,C7X9.8,C7X9.8,F,9.80,2.87,7.00,7      ,–,–,2.09,2  1/8 ,–,–,0.210,  3/16,  1/8 ,0.366,  3/8 ,–,–,–,0.875,  7/8 ,–,0.541,–,0.647,0.205,–,–,5.71,26.9,–,–,21.2,7.19,6.07,2.72,0.957,1.26,0.617,0.578,–,–,–,0.0996,9.15,–,4.09,0.922,0.58,0.289,2.28,3.57,3.02,0.845,–,–,–,–,–,–,–,–,–,0.698,6.63,–,–,C180X14.6,C180X14.6,14.6,1850,178,178,–,–,53.1,54.0,–,–,5.33,4.76,3.18,9.30,9.52,–,–,–,22.2,22.2,–,13.7,–,16.4,5.21,–,–,5.71,26.9,–,–,8.82,118,99.5,69.1,0.398,20.6,10.1,14.7,–,–,–,41.5,2.46,–,2640,0.384,0.241,0.120,37.4,58.5,76.7,0.845,–,–,–,–,–,–,–,–,–,17.7,168,–,–
