"L100x100x10*/-",15.0,100,10,12,6,19.2,2.82,7.07,3.99,3.54,0.390,25.92,"L100x100x10",15.0,176.7,24.62,3.04,280.7,3.83,72.65,1.95,-104.0,1,4,,,
"L100x100x12*/-",17.8,100,12,12,6,22.7,2.90,7.07,4.11,3.57,0.390,21.86,"L100x100x12",17.8,206.7,29.12,3.02,328.0,3.80,85.42,1.94,-121.3,1,2,,,
"L110x110x10*",16.6,110,10,13,6.5,21.2,3.06,7.78,4.33,3.88,0.429,25.79,"L110x110x10",16.6,238.0,29.99,3.35,378.2,4.23,97.72,2.15,-140.3,2,4,,,
"L110x110x12*",19.7,110,12,13,6.5,25.1,3.15,7.78,4.45,3.91,0.429,21.73,"L110x110x12",19.7,279.1,35.54,3.33,443.3,4.20,115.0,2.14,-164.1,1,3,,,
"L120x120x10-",18.2,120,10,13,6.5,23.2,3.31,8.49,4.69,4.24,0.469,25.76,"L120x120x10",18.2,312.9,36.03,3.67,497.6,4.63,128.3,2.35,-184.6,4,4,,,
"L120x120x11",19.9,120,11,13,6.5,25.4,3.36,8.49,4.75,4.25,0.469,23.54,"L120x120x11",19.9,340.6,39.41,3.66,541.5,4.62,139.8,2.35,-200.9,2,4,,,
"L120x120x12-",21.6,120,12,13,6.5,27.5,3.40,8.49,4.80,4.26,0.469,21.69,"L120x120x12",21.6,367.7,42.73,3.65,584.3,4.61,151.0,2.34,-216.6,1,4,,,
"L120x120x13",23.3,120,13,13,6.5,29.7,3.44,8.49,4.86,4.28,0.469,20.12,"L120x120x13",23.3,394.0,46.01,3.64,625.9,4.59,162.2,2.34,-231.8,1,3,,,
"L120x120x15",26.6,120,15,13,6.5,33.9,3.51,8.49,4.97,4.31,0.469,17.60,"L120x120x15",26.6,444.9,52.43,3.62,705.6,4.56,184.2,2.33,-260.7,1,1,,,
"L130x130x12-/*",23.6,130,12,14,7,30.0,3.64,9.19,5.15,4.60,0.508,21.59,"L130x130x12",23.6,472.2,50.44,3.97,750.6,5.00,193.7,2.54,-278.5,2,4,,,
"L150x150x10-/+",23.0,150,10,16,8,29.3,4.03,10.61,5.71,5.28,0.586,25.51,"L150x150x10",23.0,624.0,56.91,4.62,992.0,5.82,256.0,2.96,-368.0,4,4,,,
"L150x150x12-/+",27.3,150,12,16,8,34.8,4.12,10.61,5.83,5.29,0.586,21.44,"L150x150x12",27.3,736.9,67.75,4.60,1172,5.80,302.0,2.94,-434.9,4,4,,,
"L150x150x14+",31.6,150,14,16,8,40.3,4.21,10.61,5.95,5.32,0.586,18.53,"L150x150x14",31.6,845.4,78.33,4.58,1344.0,5.77,346.9,2.93,-498.5,2,4,,,
"L150x150x15-/+",33.8,150,15,16,8,43.0,4.25,10.61,6.01,5.33,0.586,17.36,"L150x150x15",33.8,898.1,83.52,4.57,1427,5.76,368.9,2.93,-529.1,1,4,,,
